   6 in	Wales
   2 Nazi	death
   2 Music	TV
   2 More	than
   2 May	2021
   2 Last	month
   2 Korean	crosses
   2 Joint	Committee
   2 Eluned	Morgan
   2 December	2021
   2 DMZ	in
   2 Culture	Music
   2 Covid	hospital
   2 Covid	cases
   2 Covid	19
   2 Coronavirus	pandemic
   2 Committee	on
   2 Child	mental
   2 Cape	Town
   2 BBC	is
   2 African	parliament
   2 Accessibility	Help
   2 1px	transparent
   2 10	000
   2 000	Covid
   1 your	mobile
   1 your	group
   1 younger	people
   1 young	people
   1 young	as
   1 you	can
   1 yes	it
   1 year	old
   1 year	Typewriter
   1 year	I
   1 would	urge
   1 would	offer
   1 worn	in
   1 without	its
   1 with	us
   1 with	their
   1 with	quasi
   1 with	misinformation
   1 with	lemon
   1 with	experts
   1 with	all
   1 with	This
   1 with	Claire
   1 with	12
   1 will	message
   1 who	are
   1 whether	or
   1 were	already
   1 well	coordinated
   1 week	with
   1 ways	to
   1 way	is
   1 was	not
   1 warrant	it
   1 wants	fossil
   1 want	to
   1 vulnerable	children
   1 virus	that
   1 virus	is
   1 virus	helping
   1 virus	are
   1 very	well
   1 very	very
   1 very	rare
   1 very	best
   1 vax	campaigners
   1 various	legal
   1 vaccines	said
   1 vaccines	Vaccination
   1 vaccine	she
   1 vaccine	offers
   1 vaccine	dose
   1 vaccine	by
   1 vaccine	as
   1 vaccine	advisory
   1 vaccine	He
   1 vaccine	Families
   1 vaccination	together
   1 vaccination	should
   1 vaccination	of
   1 vaccination	centres
   1 vaccination	by
   1 vaccination	I
   1 vaccinating	healthy
   1 vaccinated	in
   1 vaccinated	More
   1 us	AdChoices
   1 urge	them
   1 upset	in
   1 up	a
   1 two	with
   1 try	and
   1 trust	the
   1 trick	schools
   1 trailer	for
   1 track	again
   1 torching	returns
   1 tonic	with
   1 tonic	Glass
   1 told	BBC
   1 together	she
   1 to	warrant
   1 to	vaccinating
   1 to	try
   1 to	the
   1 to	take
   1 to	reduce
   1 to	parents
   1 to	information
   1 to	give
   1 to	get
   1 to	gather
   1 to	external
   1 to	educate
   1 to	desist
   1 to	content
   1 to	children
   1 to	France
   1 to	34
   1 tiny	after
   1 time	for
   1 thriller	starring
   1 threatening	court
   1 thought	to
   1 those	out
   1 this	year
   1 this	week
   1 this	way
   1 this	the
   1 this	story
   1 this	age
   1 third	season
   1 they	want
   1 they	can
   1 these	people
   1 there	was
   1 then	said
   1 them	to
   1 their	very
   1 their	invitation
   1 their	families
   1 the	very
   1 the	third
   1 the	system
   1 the	stats
   1 the	spread
   1 the	school
   1 the	rules
   1 the	most
   1 the	long
   1 the	issues
   1 the	health
   1 the	green
   1 the	four
   1 the	evidence
   1 the	enemy
   1 the	choice
   1 the	chief
   1 the	benefits
   1 the	additional
   1 the	Welsh
   1 the	Royal
   1 the	October
   1 the	Guildhall
   1 the	Association
   1 the	2013
   1 that	vaccination
   1 that	the
   1 that	simply
   1 that	only
   1 that	make
   1 that	jabs
   1 that	come
   1 tests	for
   1 term	the
   1 term	Published
   1 term	Eluned
   1 tense	new
   1 tennis	star
   1 teachers	by
   1 teachers	Eithne
   1 teacher	at
   1 targeted	in
   1 targeted	There
   1 take	so
   1 t	remember
   1 t	exist
   1 system	Let
   1 such	as
   1 such	a
   1 successive	day
   1 success	in
   1 studies	showed
   1 studies	show
   1 strongest	defence
   1 story	Covid
   1 stopping	the
   1 stats	on
   1 station	hit
   1 starring	Jamie
   1 star	Emma
   1 spread	of
   1 sporting	events
   1 speakers	Get
   1 source	Getty
   1 son	4Face
   1 some	risk
   1 so	yes
   1 so	they
   1 smart	speakers
   1 slightly	higher
   1 skier	Dave
   1 sites	Top
   1 sites	Read
   1 single	dose
   1 simply	shouldn
   1 showing	positive
   1 showed	children
   1 show	one
   1 shouldn	t
   1 sharing	Related
   1 seven	children
   1 series	6
   1 sending	those
   1 seen	the
   1 seen	for
   1 second	doses
   1 season	of
   1 schools	were
   1 schools	into
   1 schools	in
   1 schools	What
   1 schools	Some
   1 schools	Published
   1 school	and
   1 says	All
   1 said	there
   1 said	studies
   1 said	it
   1 said	healthy
   1 said	he
   1 said	children
   1 said	We
   1 said	The
   1 said	Some
   1 said	So
   1 said	It
   1 said	Gill
   1 said	Chart
   1 s	vaccine
   1 s	running
   1 s	next
   1 s	mental
   1 s	four
   1 s	deeply
   1 s	classrooms
   1 s	be
   1 s	Eve
   1 running	from
   1 runner	Dina
   1 rules	for
   1 rollout	is
   1 risk	is
   1 risk	from
   1 reunites	Chinese
   1 returns	to
   1 resources	and
   1 remember	The
   1 remain	our
   1 related	to
   1 refused	to
   1 reference	various
   1 referee	Archbishop
   1 reducing	educational
   1 recommended	the
   1 recommendation	that
   1 receiving	the
   1 receiving	links
   1 received	the
   1 received	letters
   1 really	clear
   1 real	upset
   1 rational	this
   1 rates	Wales
   1 rate	falls
   1 rare	risk
   1 quasi	legal
   1 providing	jabs
   1 provided	resources
   1 promoting	the
   1 processes	they
   1 pride	and
   1 prevent	harm
   1 possible	vaccinated
   1 positive	tests
   1 plays	on
   1 phone	by
   1 people	to
   1 people	opposed
   1 people	in
   1 people	have
   1 people	as
   1 people	are
   1 people	Coronavirus
   1 peak	Published
   1 peak	9Fireworks
   1 past	he
   1 parkour	The
   1 parents	with
   1 parents	guardians
   1 pandemic	More
   1 pandemic	Girl
   1 page	BUTTON
   1 pace	this
   1 outbreak	8US
   1 out	to
   1 out	the
   1 our	strongest
   1 our	multicultural
   1 our	approach
   1 others	in
   1 or	not
   1 or	inflammation
   1 opposed	to
   1 only	one
   1 only	a
   1 one	vaccine
   1 one	million
   1 one	in
   1 on	track
   1 on	this
   1 on	the
   1 on	mental
   1 on	in
   1 on	coronavirus
   1 olds	on
   1 olds	in
   1 olds	after
   1 old	computer
   1 officers	then
   1 officers	recommended
   1 officers	agreed
   1 officer	for
   1 offers	for
   1 offered	vaccination
   1 offered	one
   1 offered	a
   1 offered	Children
   1 offer	only
   1 off	Footer
   1 of	term
   1 of	reducing
   1 of	letter
   1 of	healthy
   1 of	gold
   1 of	developing
   1 of	Use
   1 of	Paediatrics
   1 of	Golden
   1 not	to
   1 not	the
   1 not	enough
   1 not	Public
   1 next	for
   1 news	alerts
   1 new	thriller
   1 new	heroes
   1 nation	humour
   1 myocarditis	or
   1 muscle	The
   1 multicultural	nation
   1 mother	and
   1 mostly	at
   1 most	vulnerable
   1 most	children
   1 more	rational
   1 mobile	On
   1 misinformation	She
   1 minister	has
   1 million	second
   1 message	A
   1 menu	BBC
   1 memory	map
   1 medical	officer
   1 meant	that
   1 mass	vaccination
   1 masks	to
   1 marginal	benefit
   1 march	Hélène
   1 march	7Antarctic
   1 map	reunites
   1 make	your
   1 made	direct
   1 low	risk
   1 low	hospital
   1 long	awaited
   1 lived	experience
   1 little	disappointing
   1 listening	I
   1 links	to
   1 linking	
   1 link	About
   1 line	We
   1 line	Last
   1 lights	VideoParkour
   1 lights	Man
   1 light	to
   1 letters	to
   1 letters	so
   1 letters	from
   1 letter	with
   1 letter	confettis
   1 lemon	Three
   1 legal	processes
   1 legal	challenges
   1 learners	and
   1 leaders	are
   1 kill	and
   1 jabs	would
   1 jabs	mostly
   1 jabs	Child
   1 jab	Image
   1 its	great
   1 it	would
   1 it	s
   1 it	on
   1 it	is
   1 it	had
   1 issues	that
   1 is	tiny
   1 is	the
   1 is	related
   1 is	due
   1 is	concerning
   1 invitation	letters
   1 into	sending
   1 injure	in
   1 informed	choice
   1 information	with
   1 information	to
   1 inflammation	of
   1 infected	with
   1 in	this
   1 in	the
   1 in	seven
   1 in	schools
   1 in	Penrhyn
   1 in	New
   1 in	London
   1 in	Europe
   1 in	England
   1 in	2006
   1 in	2005
   1 if	these
   1 humour	pride
   1 huge	fines
   1 hour	ago
   1 hospital	admission
   1 hope	to
   1 holding	up
   1 hit	by
   1 history	of
   1 his	family
   1 higher	after
   1 hidden	history
   1 heroes	after
   1 helping	prevent
   1 help	to
   1 help	this
   1 help	reduce
   1 help	make
   1 heart	of
   1 heart	muscle
   1 healthy	children
   1 health	minister
   1 health	meant
   1 health	fund
   1 health	boards
   1 health	benefits
   1 head	teacher
   1 he	had
   1 he	can
   1 having	as
   1 having	a
   1 have	the
   1 have	seen
   1 have	provided
   1 have	made
   1 have	also
   1 have	already
   1 has	said
   1 harm	and
   1 had	received
   1 had	caused
   1 guardians	children
   1 group	make
   1 group	chats
   1 green	light
   1 great	referee
   1 government	NHS
   1 gold	White
   1 go	off
   1 given	is
   1 give	the
   1 getting	a
   1 get	everything
   1 get	Covid
   1 get	9
   1 gather	pace
   1 fund	to
   1 full	2022
   1 fuel	free
   1 from	people
   1 from	having
   1 free	flights
   1 fourth	successive
   1 four	chief
   1 four	UK
   1 fossil	fuel
   1 for	younger
   1 for	vaccines
   1 for	schools
   1 for	new
   1 for	most
   1 for	fourth
   1 for	every
   1 for	ages
   1 for	Thomas
   1 for	School
   1 for	Peaky
   1 footballer	Harry
   1 football	in
   1 flights	by
   1 fines	fake
   1 family	Watch
   1 families	will
   1 falls	for
   1 falling	Vaccines
   1 falling	Published
   1 fake	NHS
   1 external	linking
   1 experts	such
   1 experience	HAYLEY
   1 exist	Antikythera
   1 evidence	the
   1 everything	back
   1 every	one
   1 events	full
   1 enough	benefit
   1 enemy	not
   1 encouraged	to
   1 encourage	parents
   1 effects	on
   1 educational	disruption
   1 education	The
   1 education	Health
   1 educate	learners
   1 due	to
   1 doses	Their
   1 dose	would
   1 dose	of
   1 dose	be
   1 dose	and
   1 doing	their
   1 doing	parkour
   1 does	reference
   1 disruption	and
   1 disappointing	and
   1 disappointing	Banner
   1 director	of
   1 direct	threats
   1 developing	long
   1 developed	long
   1 despite	low
   1 despite	bans
   1 desist	Trefor
   1 deputy	chief
   1 defence	from
   1 deeply	disappointing
   1 decision	came
   1 decision	about
   1 decision	Last
   1 day	Published
   1 court	action
   1 could	get
   1 coronavirus	in
   1 coordinated	who
   1 content	Accessibility
   1 consultation	with
   1 consideration	of
   1 consent	letters
   1 confettis	of
   1 condition	called
   1 concluded	that
   1 concerning	It
   1 computer	that
   1 comments	Related
   1 comments	Comments
   1 come	from
   1 combined	with
   1 college	leaders
   1 close	Share
   1 clear	about
   1 classrooms	5Denmark
   1 choice	to
   1 choice	about
   1 children	who
   1 children	having
   1 children	have
   1 children	and
   1 children	aged
   1 children	Direct
   1 chats	go
   1 challenges	threatening
   1 challenge	To
   1 ceremony	receiving
   1 centres	and
   1 celebrating	success
   1 caused	a
   1 cases	seen
   1 case	rate
   1 careful	consideration
   1 car	torching
   1 caption	Children
   1 can	trust
   1 can	t
   1 can	make
   1 campaigners	who
   1 came	after
   1 called	myocarditis
   1 calendar	British
   1 by	phone
   1 by	letter
   1 by	half
   1 by	Covid
   1 by	2030
   1 body	JCVI
   1 boards	providing
   1 between	12
   1 best	to
   1 benefits	that
   1 benefits	of
   1 benefits	combined
   1 benefit	to
   1 benefit	The
   1 being	targeted
   1 been	vaccinated
   1 been	infected
   1 been	encouraged
   1 been	anti
   1 be	worn
   1 be	targeted
   1 be	receiving
   1 be	really
   1 be	more
   1 be	given
   1 be	celebrating
   1 bans	10New
   1 back	on
   1 awaited	trailer
   1 at	the
   1 at	such
   1 at	some
   1 at	mass
   1 at	a
   1 at	Ysgol
   1 as	young
   1 as	the
   1 as	possible
   1 as	many
   1 as	it
   1 as	12
   1 are	very
   1 are	thought
   1 are	the
   1 are	listening
   1 are	doing
   1 archbishop	Desmond
   1 approach	to
   1 anti	vax
   1 and	young
   1 and	trick
   1 and	their
   1 and	stopping
   1 and	son
   1 and	slightly
   1 and	others
   1 and	lived
   1 and	injure
   1 and	information
   1 and	if
   1 and	huge
   1 and	his
   1 and	get
   1 and	footballer
   1 and	effects
   1 and	college
   1 and	College
   1 and	Child
   1 and	15
   1 alternate	alternate
   1 alternate	BBC
   1 also	developed
   1 already	received
   1 already	being
   1 alone	for
   1 alone	It
   1 all	hope
   1 all	health
   1 alerts	Contact
   1 agreed	a
   1 ago	US
   1 ago	S
   1 ago	Features
   1 ages	12
   1 aged	between
   1 aged	12
   1 age	group
   1 again	she
   1 after	two
   1 after	the
   1 after	one
   1 after	consultation
   1 after	Desmond
   1 advisory	body
   1 admission	rates
   1 additional	benefits
   1 action	and
   1 account	Home
   1 about	whether
   1 about	vaccination
   1 about	this
   1 about	our
   1 a	single
   1 a	real
   1 a	past
   1 a	marginal
   1 a	low
   1 a	little
   1 a	jab
   1 a	football
   1 a	condition
   1 a	challenge
   1 a	ceremony
   1 Ysgol	Y
   1 Your	account
   1 Young	people
   1 York	City
   1 Year	s
   1 Y	Creuddyn
   1 World	UK
   1 World	News
   1 Why	you
   1 White	promoting
   1 White	The
   1 What	s
   1 What	are
   1 West	South
   1 West	North
   1 Welsh	health
   1 Welsh	government
   1 Watch	the
   1 Wales	will
   1 Wales	not
   1 Wales	by
   1 Wales	Young
   1 Wales	Wales
   1 Wales	Politics
   1 Wales	Business
   1 Wales	Breakfast
   1 Wales	After
   1 Wales	1px
   1 WELSH	Celebrate
   1 View	comments
   1 VideoParkour	group
   1 Video	World
   1 Vaccines	remain
   1 Vaccination	Welsh
   1 Use	About
   1 US	flight
   1 UK	chief
   1 UK	The
   1 UK	Joint
   1 UK	Business
   1 Typewriter	with
   1 Tutu	holding
   1 Tutu	at
   1 Tutu	Former
   1 Trefor	Jones
   1 Town	Published
   1 Town	2S
   1 Tourist	Most
   1 Tourist	A
   1 Topics	Coronavirus
   1 Topics	Children
   1 Top	Stories
   1 To	be
   1 Three	ways
   1 Thomas	Shelby
   1 This	year
   1 They	concluded
   1 There	have
   1 Their	decision
   1 The	rollout
   1 The	risk
   1 The	recommendation
   1 The	hidden
   1 The	UK
   1 The	Golden
   1 The	2
   1 Terms	of
   1 Templeton	Prize
   1 Tech	Science
   1 Tackling	the
   1 TV	In
   1 Summers	schools
   1 Stories	Major
   1 Stories	Entertainment
   1 South	West
   1 South	East
   1 Sounds	Terms
   1 Sounds	BUTTON
   1 Some	studies
   1 Some	of
   1 So	it
   1 Smith	and
   1 Skip	to
   1 Shelby	and
   1 She	said
   1 Share	page
   1 Share	BUTTON
   1 Services	On
   1 September	2021
   1 Sell	My
   1 Search	Home
   1 Science	Stories
   1 School	and
   1 S	Korean
   1 Ryding	tennis
   1 Royal	College
   1 Richardson	deputy
   1 Related	Internet
   1 Reality	Check
   1 Reads	Wales
   1 Reading	Around
   1 Read	about
   1 Read	1Major
   1 Raducanu	runner
   1 Radio	Wales
   1 Published	9
   1 Published	3
   1 Published	28
   1 Published	23
   1 Published	20
   1 Published	19
   1 Published	18
   1 Published	16
   1 Public	Health
   1 Prize	at
   1 Privacy	Policy
   1 Politics	Wales
   1 Policy	Cookies
   1 Podliasky	Betty
   1 Pictures	Reality
   1 Personalised	Newsletters
   1 Penrhyn	Bay
   1 Peaky	Blinders
   1 Parkour	group
   1 Parental	Guidance
   1 Paediatrics	and
   1 PODCAST	Tackling
   1 PEARCE	PODCAST
   1 On	your
   1 On	smart
   1 October	half
   1 October	2020
   1 Not	Sell
   1 North	West
   1 North	Published
   1 North	East
   1 North	3Child
   1 Newsletters	Why
   1 Newsbeat	Long
   1 News	TV
   1 News	Services
   1 News	Menu
   1 News	Home
   1 News	Covid
   1 New	York
   1 NHS	consent
   1 NHS	Wales
   1 My	Info
   1 Murphy	He
   1 Most	Read
   1 Morgan	says
   1 Morgan	said
   1 More	on
   1 More	Health
   1 Minister	Eluned
   1 Mid	South
   1 MenuMore	Search
   1 Menu	Home
   1 Mechanism	Elsewhere
   1 Man	doing
   1 Major	fire
   1 Long	Reads
   1 London	UK
   1 Local	News
   1 Links	Joint
   1 Let	s
   1 Leaders	Cymru
   1 Kane	all
   1 Jones	head
   1 Jamie	Dornan
   1 JCVI	refused
   1 It	said
   1 It	is
   1 It	does
   1 Internet	Links
   1 Info	2022
   1 In	Pictures
   1 Immunisation	said
   1 Immunisation	The
   1 Images	Image
   1 Image	source
   1 Image	caption
   1 Image	Reading
   1 I	would
   1 I	will
   1 I	encourage
   1 Hélène	Podliasky
   1 Hughes	director
   1 How	nine
   1 How	many
   1 Homepage	Skip
   1 Home	Coronavirus
   1 Help	Your
   1 Help	Parental
   1 Health	World
   1 Health	Wales
   1 Health	They
   1 Health	Minister
   1 He	said
   1 He	s
   1 Harry	Kane
   1 HAYLEY	PEARCE
   1 Guildhall	in
   1 Guidance	Contact
   1 Graph	showing
   1 Golden	Girls
   1 Golden	Girl
   1 Glass	of
   1 Girls	in
   1 Girl	with
   1 Girl	getting
   1 Gill	Richardson
   1 Getty	Images
   1 Get	news
   1 Get	Personalised
   1 France	BBC
   1 Former	archbishop
   1 Footer	Blue
   1 Figuring	out
   1 February	2021
   1 Features	How
   1 Families	have
   1 Eve	car
   1 Europe	despite
   1 Entertainment	Arts
   1 England	s
   1 Emma	Raducanu
   1 Elsewhere	on
   1 Eithne	Hughes
   1 East	Mid
   1 East	Cymru
   1 Dornan	The
   1 Do	Not
   1 Direct	threats
   1 Dina	Asher
   1 Dave	Ryding
   1 Cymru	told
   1 Cymru	Local
   1 Culture	MenuMore
   1 Creuddyn	in
   1 Covid	despite
   1 Covid	case
   1 Covid	Published
   1 Covid	Graph
   1 Covid	Covid
   1 Coronavirus	vaccines
   1 Coronavirus	Climate
   1 Copy	link
   1 Cookies	Accessibility
   1 Conwy	said
   1 Contact	the
   1 Contact	BBC
   1 Comments	BUTTON
   1 College	of
   1 College	Leaders
   1 Close	menu
   1 Climate	Video
   1 Claire	Summers
   1 City	in
   1 Cillian	Murphy
   1 Chinese	mother
   1 Children	s
   1 Children	as
   1 Children	and
   1 Children	aged
   1 Children	Coronavirus
   1 Child	Health
   1 Check	Newsbeat
   1 Chart	1px
   1 Celebrate	our
   1 Business	Tech
   1 Business	North
   1 British	skier
   1 Breakfast	with
   1 Blue	BUTTON
   1 Blue	BLACK
   1 Blinders	series
   1 Big	sporting
   1 Betty	White
   1 Bay	Conwy
   1 Banner	Image
   1 BUTTON	close
   1 BUTTON	View
   1 BUTTON	Share
   1 BUTTON	Copy
   1 BUTTON	Close
   1 BLACK	AND
   1 BBC	What
   1 BBC	The
   1 BBC	Radio
   1 BBC	Privacy
   1 BBC	Homepage
   1 BBC	Get
   1 BBC	Blue
   1 BBC	Advertise
   1 Association	for
   1 Asher	Smith
   1 Arts	More
   1 Around	the
   1 Archbishop	Desmond
   1 Antikythera	Mechanism
   1 All	12
   1 After	careful
   1 Africa	plays
   1 Advertise	with
   1 AdChoices	Do
   1 About	the
   1 About	sharing
   1 AND	WELSH
   1 A	time
   1 A	tense
   1 9Fireworks	kill
   1 9	October
   1 9	4m
   1 8US	flight
   1 7Antarctic	station
   1 6How	nine
   1 6	Cillian
   1 5Denmark	wants
   1 4m	Published
   1 4Face	masks
   1 4	hours
   1 4	October
   1 3Child	memory
   1 34	cases
   1 3	October
   1 2S	Korean
   1 28	September
   1 23	December
   1 2030	6How
   1 2022	without
   1 2022	calendar
   1 2022	Parkour
   1 2022	BBC
   1 2021	comments
   1 2021	Wales
   1 2021	Related
   1 2021	More
   1 2021	How
   1 2021	Figuring
   1 2021	Covid
   1 2021	Children
   1 2021	Child
   1 2020	Children
   1 2013	Templeton
   1 2006	Big
   1 2005	Africa
   1 20	December
   1 2	000
   1 1Major	fire
   1 19	she
   1 19	outbreak
   1 19	May
   1 18	May
   1 16	hours
   1 15	will
   1 15	should
   1 15	in
   1 12	could
   1 12	and
   1 12	15
   1 10New	Year
   1 1	hour
   1 1	October
   1 1	February
   1 000	year
